model,method_name,method,seed,timestamp,filename,baseline_perplexity,baseline_latency,baseline_model_size_mb,baseline_total_params,baseline_nonzero_params,baseline_sparsity,baseline_weight_min,baseline_weight_max,baseline_weight_mean,baseline_weight_std,baseline_unique_weights,compressed_perplexity,compressed_latency,compressed_model_size_mb,compressed_total_params,compressed_nonzero_params,compressed_sparsity,compressed_weight_min,compressed_weight_max,compressed_weight_mean,compressed_weight_std,compressed_unique_weights,comparison_cosine_similarity,comparison_mse,diff_size,diff_perplexity,diff_latency,diff_total_params,diff_sparsity,diff_unique_weights
roberta-large,weight_sharing,"algorithm=kmeans, layers=[], n_clusters=32",50,2025-05-28 16:31:32,roberta-large_50_20250528_163132.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,4.276942302832998,0.18281190395355223,1355.7972450256348,355088384,355087360,3.944717047120323e-06,-1.0,1.0029296875,-0.0017300720027663323,0.06566650741858772,6737,0.9901703000068665,0.01923363283276558,0.0,-0.3276713616136768,0.011781320571899428,0,5.683543819674081e-07,691
roberta-large,low_rank_factorization,"ff_ratio=0.95, min_ff_rank=128",505,2025-05-28 19:20:59,roberta-large_505_20250528_192059.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,48005.71571986996,0.20715876817703247,1493.3558387756348,391148544,391147467,3.7167388560808136e-06,-5.6481404304504395,5.033745288848877,-0.0022681731784851234,0.06369717382903811,20531,0.918842077255249,0.1588725745677948,-137.55859375,-48001.766448928734,-0.012565543651580802,-36060160,7.963325730069175e-07,-13103
roberta-large,weight_sharing → quantization,"algorithm=kmeans, layers=[], n_clusters=64 → type=8",50,2025-05-31 04:16:35,roberta-large_50_20250531_041635.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,5.558565280190654,0.1061962914466858,198.94958877563477,52049920,52048896,0.0015058269916547187,-0.59912109375,1.0029296875,-0.01694799926700519,0.13875232257482645,6395,0.9662445783615112,0.06603895127773285,1156.84765625,-1.6092943389713334,0.08839693307876587,303038464,-0.001501313920225631,1033
roberta-large,low_rank_factorization,"ff_ratio=0.99, min_ff_rank=128",505,2025-05-28 19:35:20,roberta-large_505_20250528_193520.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,51440.178035937584,0.2200746703147888,1594.4339637756348,417645568,417644490,3.483509926511554e-06,-5.6481404304504395,5.033745288848877,-0.0021241429642748838,0.06190746769978096,20531,0.9206616878509521,0.15531909465789795,-238.63671875,-51436.22876499636,-0.025481445789337143,-62557184,1.029561502576177e-06,-13103
roberta-large,low_rank_factorization,"ff_ratio=0.97, min_ff_rank=128",5,2025-05-28 19:23:24,roberta-large_5_20250528_192324.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,27555.409393375518,0.21183618307113647,1539.3480262756348,403205120,403204043,3.605690660096218e-06,-5.6481404304504395,5.033745288848877,-0.0022002888852217413,0.06286675170569707,20531,0.9218125939369202,0.15306717157363892,-183.55078125,-27551.4601224343,-0.017242958545684806,-48116736,9.073807689915132e-07,-13103
roberta-large,pruning → weight_sharing,"amount=0.3, permanent=true, type=l1_unstructured → algorithm=kmeans, layers=[], n_clusters=32",50,2025-05-31 20:06:08,roberta-large_50_20250531_200608.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,164.55655430957347,0.1931069564819336,1355.7972450256348,355088384,355087360,0.0015539223238343089,-1.0009766817092896,1.0029296875,-0.0016484908051762114,0.06519888503292241,6497,0.9407752752304077,0.11594999581575394,0.0,-160.60728336835416,0.001486268043518063,0,-0.0015494092524052211,931
roberta-large,activation_approximation,"n_segments=2, range=auto, replace_all=true",5,2025-05-28 19:37:22,roberta-large_5_20250528_193722.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,3.949270941219321,0.18793808698654174,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,1.0,0.0,0.0,0.0,0.006655137538909922,0,0.0,0
roberta-large,weight_sharing → pruning,"algorithm=kmeans, layers=[], n_clusters=64 → amount=0.1, permanent=true, type=l1_unstructured",505,2025-05-31 09:49:42,roberta-large_505_20250531_094942.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,4.354193436148498,0.19260645866394044,1355.7972450256348,355088384,319636358,0.0015539223238343089,-1.0009766817092896,1.0029296875,-0.0016899300320957445,0.06567517086748087,6497,0.9820273518562317,0.03517353534698486,0.0,-0.4049224949291772,0.001986765861511225,0,-0.0015494092524052211,931
roberta-large,pruning,"amount=0.5, permanent=true, type=l1_unstructured",5,2025-05-28 14:32:06,roberta-large_5_20250528_143206.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,21093919.716958474,0.1947551965713501,1355.7972450256348,355088384,177832448,0.4987346672935184,-1.005859375,1.0029296875,-0.0014042821483455086,0.0632509912259832,7428,0.8285908699035645,0.3355248272418976,0.0,-21093915.767687533,-0.00016197204589843417,0,-0.49873015422208933,0
roberta-large,weight_sharing → pruning,"algorithm=kmeans, layers=[], n_clusters=32 → amount=0.1, permanent=true, type=l1_unstructured",505,2025-05-31 08:22:12,roberta-large_505_20250531_082212.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,5.319818459730543,0.19377938270568848,1355.7972450256348,355088384,319636358,0.0015539223238343089,-1.0,1.0029296875,-0.0016437566900096886,0.06564870501758348,6497,0.9768196940422058,0.045364946126937866,0.0,-1.3705475185112221,0.0008138418197631836,0,-0.0015494092524052211,931
roberta-large,pruning → weight_sharing,"amount=0.2, permanent=true, type=l1_unstructured → algorithm=kmeans, layers=[], n_clusters=64",505,2025-05-31 18:33:31,roberta-large_505_20250531_183331.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,28.454433618216566,0.1947027325630188,1355.7972450256348,355088384,355087360,0.0015539223238343089,-1.0009766817092896,1.0029296875,-0.001702363217381414,0.06557418079594389,6497,0.9616105556488037,0.07515221834182739,0.0,-24.505162676997244,-0.00010950803756712424,0,-0.0015494092524052211,931
roberta-large,pruning → weight_sharing,"amount=0.2, permanent=true, type=l1_unstructured → algorithm=kmeans, layers=[], n_clusters=32",50,2025-05-31 17:44:18,roberta-large_50_20250531_174418.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,36.690172403128926,0.1934512734413147,1355.7972450256348,355088384,355087360,0.0015539223238343089,-0.94140625,1.0029296875,-0.0016971819191469316,0.06553388640428613,6497,0.9559960961341858,0.08614709228277206,0.0,-32.74090146190961,0.0011419510841369773,0,-0.0015494092524052211,931
roberta-large,weight_sharing,"algorithm=uniform, layers=[], n_clusters=32",5,2025-05-28 18:47:30,roberta-large_5_20250528_184730.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,693754.9285494938,0.18349048614501953,1355.7972450256348,355088384,355087360,3.944717047120323e-06,-1.005859375,1.0029296875,-0.019904977168283215,0.0671188661726177,7736,-0.3044199049472809,2.5647735595703125,0.0,-693750.9792785526,0.011102738380432131,0,5.683543819674081e-07,-308
roberta-large,pruning → quantization,"amount=0.2, permanent=true, type=l1_unstructured → type=16",5,2025-05-31 02:42:34,roberta-large_5_20250531_024234.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,25.344979421420216,0.2297536826133728,198.94958877563477,52049920,41754624,0.19741174659119792,-0.65283203125,1.0029296875,-0.016685307549852806,0.13851700093087427,6934,0.9623735547065735,0.07366041839122772,1156.84765625,-21.395708480200895,-0.03516045808792115,303038464,-0.19740723351976883,494
roberta-large,pruning → quantization,"amount=0.1, permanent=true, type=l1_unstructured → type=8",505,2025-05-31 02:34:39,roberta-large_505_20250531_023439.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,7.2616619751321965,0.10688329219818116,198.94958877563477,52049920,46901760,0.09871569086803735,-0.65283203125,1.0029296875,-0.016900255627739932,0.13875370946199023,6934,0.9404032230377197,0.11693757772445679,1156.84765625,-3.3123910339128755,0.0877099323272705,303038464,-0.09871117779660826,494
roberta-large,weight_sharing → pruning,"algorithm=kmeans, layers=[], n_clusters=64 → amount=0.3, permanent=true, type=l1_unstructured",50,2025-05-31 11:00:57,roberta-large_50_20250531_110057.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,146.4948381153103,0.1920096445083618,1355.7972450256348,355088384,248734403,0.0015539223238343089,-1.0009766817092896,1.0029296875,-0.0016192887155027055,0.06522519291581663,6497,0.9410514831542969,0.11539409309625626,0.0,-142.545567174091,0.0025835800170898593,0,-0.0015494092524052211,931
roberta-large,quantization,type=16,505,2025-05-28 16:02:06,roberta-large_505_20250528_160206.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,3.9492718292466495,0.22627318382263184,198.94958877563477,52049920,52048885,1.9846069284641242e-05,-0.65283203125,1.0029296875,-0.016951774387975065,0.13878102413030668,6934,1.0,1.895199492132904e-12,1156.84765625,-8.880273285605256e-07,-0.03167995929718018,303038464,-1.533299785555351e-05,494
roberta-large,pruning → weight_sharing,"amount=0.2, permanent=true, type=l1_unstructured → algorithm=kmeans, layers=[], n_clusters=64",50,2025-05-31 18:19:50,roberta-large_50_20250531_181950.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,28.462826053678814,0.19337183713912964,1355.7972450256348,355088384,355087360,0.0015539223238343089,-1.0009766817092896,1.0029296875,-0.0017023600227189743,0.06557418747182386,6497,0.9616457223892212,0.07508359849452972,0.0,-24.513555112459493,0.0012213873863220204,0,-0.0015494092524052211,931
roberta-large,weight_sharing → quantization,"algorithm=kmeans, layers=[], n_clusters=32 → type=16",50,2025-05-31 03:43:04,roberta-large_50_20250531_034304.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,4.276518394952585,0.2303559350967407,198.94958877563477,52049920,52048896,0.0015058269916547187,-0.59912109375,1.0029296875,-0.016931600408031437,0.13877597732264627,6395,0.990172803401947,0.01922856830060482,1156.84765625,-0.3272474537332637,-0.03576271057128905,303038464,-0.001501313920225631,1033
roberta-large,quantization → pruning,"type=8 → amount=0.1, permanent=true, type=l1_unstructured",50,2025-05-31 02:53:29,roberta-large_50_20250531_025329.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,5.343061891177608,0.11118974685668945,198.94958877563477,52049920,52048885,1.9846069284641242e-05,-0.65283203125,1.0029296875,-0.016951774387975065,0.13878102413030668,6934,0.9472996592521667,0.103238046169281,1156.84765625,-1.3937909499582868,0.08340347766876222,303038464,-1.533299785555351e-05,494
roberta-large,weight_sharing,"algorithm=uniform, layers=[], n_clusters=16",505,2025-05-28 18:44:57,roberta-large_505_20250528_184457.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,25125648612408.02,0.18244188785552978,1355.7972450256348,355088384,355087360,3.944717047120323e-06,-1.005859375,1.0029296875,-0.04042353823285777,0.07186018236873803,7135,-0.8043012022972107,3.5942602157592773,0.0,-25125648612404.07,0.01215133666992188,0,5.683543819674081e-07,293
roberta-large,weight_sharing → quantization,"algorithm=kmeans, layers=[], n_clusters=64 → type=16",50,2025-05-31 04:56:40,roberta-large_50_20250531_045640.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,4.039781389251366,0.22985037088394164,198.94958877563477,52049920,52048896,0.0015058269916547187,-0.59912109375,1.0029296875,-0.01694799708239933,0.13875232010580332,6395,0.996605634689331,0.006641318090260029,1156.84765625,-0.09051044803204489,-0.03525714635848998,303038464,-0.001501313920225631,1033
roberta-large,weight_sharing → quantization,"algorithm=kmeans, layers=[], n_clusters=32 → type=8",5,2025-05-31 03:16:06,roberta-large_5_20250531_031606.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,6.248764867987931,0.10826231002807617,198.94958877563477,52049920,52048896,0.0015058269916547187,-0.59912109375,1.0029296875,-0.016931599855176463,0.13877598144828338,6395,0.9692304730415344,0.060200825333595276,1156.84765625,-2.29949392676861,0.0863309144973755,303038464,-0.001501313920225631,1033
roberta-large,pruning → quantization,"amount=0.2, permanent=true, type=l1_unstructured → type=16",50,2025-05-31 02:43:52,roberta-large_50_20250531_024352.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,25.344979421420216,0.23098902702331542,198.94958877563477,52049920,41754624,0.19741174659119792,-0.65283203125,1.0029296875,-0.016685307549852806,0.13851700093087427,6934,0.9623735547065735,0.07366041839122772,1156.84765625,-21.395708480200895,-0.036395802497863755,303038464,-0.19740723351976883,494
roberta-large,weight_sharing → pruning,"algorithm=kmeans, layers=[], n_clusters=128 → amount=0.3, permanent=true, type=l1_unstructured",5,2025-05-31 14:16:30,roberta-large_5_20250531_141630.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,119.57512031180626,0.1924071192741394,1355.7972450256348,355088384,248734403,0.0015539223238343089,-1.0029296875,1.0029296875,-0.0015859568651521232,0.06524517970593742,6497,0.9495558142662048,0.0987529456615448,0.0,-115.62584937058693,0.0021861052513122703,0,-0.0015494092524052211,931
roberta-large,low_rank_factorization,"ff_ratio=0.99, min_ff_rank=128",50,2025-05-28 19:32:55,roberta-large_50_20250528_193255.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,51440.178035937584,0.21967859983444213,1594.4339637756348,417645568,417644490,3.483509926511554e-06,-5.6481404304504395,5.033745288848877,-0.0021241429642748838,0.06190746769978096,20531,0.9206616878509521,0.15531909465789795,-238.63671875,-51436.22876499636,-0.025085375308990465,-62557184,1.029561502576177e-06,-13103
roberta-large,weight_sharing → pruning,"algorithm=kmeans, layers=[], n_clusters=64 → amount=0.2, permanent=true, type=l1_unstructured",5,2025-05-31 10:04:45,roberta-large_5_20250531_100445.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,35.2911954591294,0.19026546955108642,1355.7972450256348,355088384,284185405,0.0015539223238343089,-1.0009766817092896,1.0029296875,-0.001735454008286034,0.06555692082303352,6497,0.9582560658454895,0.08171610534191132,0.0,-31.341924517910076,0.004327754974365244,0,-0.0015494092524052211,931
roberta-large,weight_sharing → pruning,"algorithm=kmeans, layers=[], n_clusters=128 → amount=0.3, permanent=true, type=l1_unstructured",50,2025-05-31 14:42:36,roberta-large_50_20250531_144236.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,118.14809107466476,0.19224740743637084,1355.7972450256348,355088384,248734403,0.0015539223238343089,-1.0029296875,1.0029296875,-0.0015859776824258276,0.06524516944828142,6497,0.9494122266769409,0.09903387725353241,0.0,-114.19882013344544,0.002345817089080826,0,-0.0015494092524052211,931
roberta-large,weight_sharing,"algorithm=kmeans, layers=[], n_clusters=128",505,2025-05-28 18:37:41,roberta-large_505_20250528_183741.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,3.961593585321864,0.1833661365509033,1355.7972450256348,355088384,355087360,3.944717047120323e-06,-1.0029296875,1.0029296875,-0.001731686864151528,0.0657094332005188,7493,0.9990136623382568,0.001929531223140657,0.0,-0.012322644102543023,0.011227087974548355,0,5.683543819674081e-07,-65
roberta-large,pruning → weight_sharing,"amount=0.3, permanent=true, type=l1_unstructured → algorithm=kmeans, layers=[], n_clusters=32",5,2025-05-31 19:58:55,roberta-large_5_20250531_195855.json,3.949270941219321,0.19459322452545166,1355.7972450256348,355088384,355087158,4.513071429087731e-06,-1.005859375,1.0029296875,-0.0017324826179150438,0.06570944109829649,7428,164.47979335710374,0.1956988787651062,1355.7972450256348,355088384,355087360,0.0015539223238343089,-1.0009766817092896,1.0029296875,-0.0016484965263916457,0.065198878261284,6497,0.9407817125320435,0.11593735963106155,0.0,-160.53052241588443,-0.00110565423965453,0,-0.0015494092524052211,931
